language,watchers_count,open_issues_count,commit_count,contributors_count,stars_count,forks_count,size,days_since_last_commit,source_code_url,owner,repo
Solidity,0,0,2,0,0,0,77,474,https://github.com/shareatdev/shareattoken,shareatdev,shareattoken
C,1,2,6,0,1,2,13516,2015,https://github.com/cryptojacks/cryptojacks,cryptojacks,cryptojacks
"",6,0,73,5,6,11,204,5,https://github.com/swopfi/swopfi-smart-contracts,swopfi,swopfi-smart-contracts
C++,34,2,76,9,34,19,20308,869,https://github.com/hdactech/hdac,hdactech,hdac
Java,74,18,733,0,74,47,1535,22,https://github.com/n-y-z-o/nyzoverifier,n-y-z-o,nyzoverifier
"",0,0,1,0,0,0,2,318,https://github.com/invitree/invi-source-code,invitree,invi-source-code
JavaScript,236,22,439,27,236,269,10039,314,https://github.com/yearn/iearn-finance,yearn,iearn-finance
"",0,0,3,0,0,0,22,810,https://github.com/bispex-platform/bispex-token,bispex-platform,bispex-token
C++,6,0,16052,337,6,1,168001,83,https://github.com/777-project/777,777-project,777
Solidity,1,0,1,0,1,1,8,94,https://github.com/littlebunnyrocket/littlebunnyrocket,littlebunnyrocket,littlebunnyrocket
C++,1,1,3687,114,1,2,18633,2367,https://github.com/axiomcryptocurrency/axiom,axiomcryptocurrency,axiom
Solidity,1,0,10,0,1,0,112,75,https://github.com/findshibby/findshibby-token-sourcecode,findshibby,findshibby-token-sourcecode
Solidity,1,0,4,0,1,1,1659,74,https://github.com/cogi-technology/cogi_contracts,cogi-technology,cogi_contracts
C++,7,1,8,2,7,9,3218,395,https://github.com/projectarepa/arepacoin,projectarepa,arepacoin
Solidity,19,1,196,0,19,4,13849,195,https://github.com/lemond-finance/lemond,lemond-finance,lemond
C++,0,0,105,6,0,3,7149,145,https://github.com/stronghands-official/shmn-source,stronghands-official,shmn-source
"",134,3,298,10,134,37,2617,0,https://github.com/pickle-finance/contracts,pickle-finance,contracts
TypeScript,608,5,5493,386,608,3532,238339,5,https://github.com/consenlabs/token-profile,consenlabs,token-profile
Solidity,0,0,2,0,0,0,11,53,https://github.com/roco941/rocket,roco941,rocket
